,iid,gender,age,wave,field,race,imprace,imprelig,goal,date,go_out,career,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,attr_o,sinc_o,intel_o,fun_o,amb_o,age_o,like_o,match,dec_o,attr,sinc,intel,fun,amb,like,match_es,dec,you_call,them_cal
0,1,F,21.0,1,Law,Asian,2.0,4.0,Meet people,7.0,1.0,lawyer,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,2.0,15.0,20.0,20.0,15.0,15.0,,,,,,,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,,,,,,,,,,,6.7,7.4,8.0,7.2,8.0,25.2,6.85,4,5,5.7,7.3,7.3,6.8,6.3,6.5,4.0,8,1.0,1.0
1,2,F,24.0,1,law,Caucasian,2.0,5.0,Fun,5.0,1.0,law,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,5.0,45.0,5.0,25.0,20.0,0.0,,,,,,,65.0,0.0,10.0,25.0,0.0,0.0,7.0,5.0,8.0,10.0,3.0,,,,,,,,,,,,,,,,7.7,7.1,7.9,7.5,7.5,25.2,7.6,2,6,6.4,7.0,7.7,6.1,6.5,6.6,3.0,4,0.0,0.0
2,3,F,25.0,1,Economics,Caucasian,8.0,4.0,Other,3.0,1.0,Economist,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,2.0,35.0,10.0,35.0,10.0,10.0,,,,,,,50.0,0.0,20.0,30.0,0.0,0.0,8.0,9.0,9.0,8.0,8.0,,,,,,,,,,,,,,,,6.5,7.1,7.3,6.2,7.111111111111111,25.2,6.0,0,5,8.1,8.6,9.4,7.7,8.8,8.2,,0,,
3,4,F,23.0,1,Law,Caucasian,1.0,1.0,Fun,5.0,1.0,lawyer/policy work,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,2.0,20.0,20.0,20.0,20.0,10.0,,,,,,,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,7.0,9.0,8.0,,,,,,,,,,,,,,,,7.0,7.1,7.7,7.5,7.7,25.2,7.3,2,6,6.4,8.9,8.6,7.8,7.8,6.6,2.0,3,0.0,0.0
4,5,F,21.0,1,Law,Caucasian,8.0,1.0,Meet people,4.0,1.0,lawyer,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,10.0,20.0,5.0,25.0,25.0,10.0,,,,,,,50.0,10.0,10.0,20.0,5.0,5.0,6.0,3.0,10.0,6.0,8.0,,,,,,,,,,,,,,,,5.3,7.7,7.6,7.2,7.8,25.2,6.1,2,3,6.3,6.0,7.0,6.0,5.6,7.2,,6,0.0,0.0
5,6,F,23.0,1,law,Asian,1.0,1.0,Fun,3.0,1.0,lawyer,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,3.0,10.0,25.0,20.0,25.0,5.0,,,,,,,25.0,10.0,10.0,25.0,10.0,20.0,5.0,7.0,9.0,8.0,5.0,,,,,,,,,,,,,,,,6.8,7.8,8.6,7.0,8.0,25.2,6.8,2,5,5.9,7.3,8.0,6.0,5.2,6.5,4.0,6,,
6,7,F,22.0,1,Law,Asian,2.0,4.0,Fun,5.0,1.0,Law,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,15.0,15.0,25.0,20.0,15.0,,,,,,,30.0,12.0,13.0,25.0,10.0,10.0,6.0,6.0,7.0,5.0,7.0,,,,,,,,,,,,,,,,7.9,7.6,8.2,7.0,7.5,25.2,7.6,2,7,5.4,6.9,7.7,5.8,7.6,6.5,2.0,4,,
7,8,F,25.0,1,Masters in Public Administration,Caucasian,1.0,1.0,Fun,5.0,1.0,Journalist,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,10.0,9.09,18.18,27.27,18.18,18.18,,,,,,,30.0,10.0,20.0,30.0,5.0,5.0,7.0,4.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,8.2,7.8,8.1,7.9,7.444444444444445,25.2,7.7,8,8,6.4,7.2,7.1,6.0,6.7,6.0,,10,,
8,9,F,26.0,1,Masters in Public Administration,Other,1.0,1.0,Fun,4.0,1.0,Congresswoman. and comedian,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,15.0,20.0,10.0,20.0,30.0,10.0,,,,,,,30.0,20.0,10.0,20.0,10.0,10.0,7.0,6.0,7.0,10.0,7.0,,,,,,,,,,,,,,,,7.0,7.4,7.5,7.8,6.9,25.2,7.1,7,7,7.3,8.6,8.3,7.4,6.8,7.0,1.0,10,,
9,10,F,26.0,1,Masters of Social Work&Education,Caucasian,4.0,4.0,Meet people,6.0,1.0,To create early childhood intervention programs,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0,10.0,15.0,15.0,15.0,40.0,10.0,,,,,,,45.0,10.0,15.0,20.0,5.0,5.0,6.0,8.0,6.0,10.0,9.0,,,,,,,,,,,,,,,,6.333333333333333,7.0,6.4,6.4,6.2,25.2,6.0,2,4,6.1,8.2,7.5,6.7,6.7,6.6,,4,,
10,11,M,27.0,1,Finance,Caucasian,7.0,3.0,Fun,5.0,4.0,Academia. Research. Banking. Life,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,3.0,35.0,20.0,20.0,20.0,0.0,,,,,,,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,8.0,7.0,5.0,,,,,,,,,,,,,,,,5.6,8.8,8.2,5.4,6.4,23.6,6.2,0,4,6.8,7.8,7.2,7.6,7.1,6.4,0.0,0,0.0,0.0
11,12,M,22.0,1,Law,Caucasian,1.0,1.0,Fun,1.0,1.0,Corporate Lawyer,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0,20.0,60.0,0.0,0.0,40.0,0.0,,,,,,,25.0,15.0,25.0,20.0,15.0,0.0,9.0,9.0,10.0,9.0,9.0,,,,,,,,,,,,,,,,7.1,6.6,7.1,6.7,6.9,23.6,6.9,2,4,6.2,6.7,9.1,5.9,5.7,6.9,3.0,3,,
12,13,M,22.0,1,Law,Asian,3.0,5.0,Meet people,7.0,1.0,Lawyer,7.0,8.0,2.0,9.0,5.0,6.0,4.0,7.0,7.0,6.0,8.0,10.0,8.0,9.0,9.0,8.0,1.0,4.0,19.0,18.0,19.0,18.0,14.0,,,,,,,20.0,16.0,16.0,18.0,16.0,14.0,4.0,7.0,8.0,8.0,3.0,,,,,,,,,,,,,,,,4.8,7.9,8.8,7.0,5.9,23.6,6.4,4,4,10.0,10.0,10.0,10.0,10.0,10.0,,10,,
13,14,M,23.0,1,Law,Caucasian,1.0,1.0,Meet people,4.0,1.0,Corporate attorney,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0,15.0,30.0,5.0,15.0,40.0,5.0,,,,,,,20.0,15.0,20.0,20.0,5.0,20.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,8.2,7.6,7.4,7.6,6.6,23.6,7.7,8,8,7.2,8.1,7.8,8.2,8.7,7.5,,10,1.0,1.0
14,15,M,24.0,1,Law,Hispanic,3.0,1.0,Fun,4.0,1.0,Lawyer,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0,9.0,30.0,10.0,20.0,10.0,10.0,,,,,,,20.0,20.0,20.0,20.0,10.0,10.0,7.0,7.0,9.0,7.0,9.0,,,,,,,,,,,,,,,,5.7,7.6,7.7,7.2,6.5,23.6,6.3,3,3,7.6,8.5,8.8,7.5,8.25,7.7,,9,3.0,0.0
15,16,M,25.0,1,Business,Caucasian,9.0,2.0,Fun,5.0,1.0,research/financial industry,7.0,2.0,6.0,7.0,7.0,7.0,5.0,5.0,5.0,8.0,3.0,7.0,8.0,7.0,8.0,6.0,1.0,10.0,50.0,0.0,30.0,10.0,0.0,,,,,,,50.0,5.0,30.0,5.0,5.0,5.0,6.0,6.0,8.0,8.0,6.0,,,,,,,,,,,,,,,,5.6,8.4,7.6,4.4,6.0,23.6,5.6,2,3,6.666666666666667,7.0,7.2,6.9,7.1,6.4,3.0,8,0.0,0.0
